id_musica,titulo,artista,genero,ano_lancamento,duracao_ms,popularidade,streams_milhoes,danceability,energy,valence,acousticness,speechiness,liveness,bpm,tom,modo,explicito,selo
TRK00058,Tomorrow,Ed Sheeran,Pop,2023,290069,69,898.4,0.808,0.695,0.727,0.568,0.265,0.221,115,A#,Menor,Não,Warner Music
TRK00059,Likey,(G)I-DLE,K-Pop,2017,203730,37,428.4,0.806,0.432,0.319,0.469,0.327,0.231,121,G#,Menor,Não,RCA Records
TRK00060,Goodbye Today Maybe,Florence + The Machine,Indie,2017,259347,73,871.2,0.775,0.678,0.48,0.107,0.288,0.172,108,A#,Menor,Não,Atlantic Records
TRK00061,Loco Fiesta,Rosalía,Latin,2018,186449,96,1184.8,0.781,0.814,0.523,0.245,0.118,0.097,130,E,Maior,Sim,Def Jam
TRK00062,Sunshine,J. Cole,Hip-Hop,2024,173313,69,847.7,0.765,0.694,0.538,0.209,0.236,0.494,131,B,Maior,Sim,Warner Music
TRK00063,Imposible,J Balvin,Latin,2024,223624,45,486.9,0.895,0.856,0.213,0.107,0.274,0.268,129,C,Maior,Não,Capitol Records
TRK00064,Body,Phoebe Bridgers,Indie,2020,272102,89,1101.8,0.454,0.352,0.752,0.075,0.02,0.1,147,F,Menor,Não,Interscope
TRK00065,Imposible,Becky G,Latin,2024,199892,66,733.8,0.811,0.781,0.543,0.201,0.055,0.062,131,D#,Menor,Não,Capitol Records
TRK00066,Dance Us Hold,Future,Hip-Hop,2021,232041,41,597.0,0.69,0.688,0.638,0.216,0.219,0.182,71,F#,Maior,Não,Independent
TRK00067,Cry Lonely,MGMT,Indie,2024,198987,68,889.5,0.663,0.662,0.711,0.237,0.298,0.227,100,A,Maior,Não,Universal Music
TRK00068,Yesterday Wild,Harry Styles,Pop,2021,274935,67,757.8,0.644,0.536,0.99,0.083,0.161,0.165,116,F,Maior,Não,Universal Music
TRK00069,Dancing Somewhere Paradise,Twenty One Pilots,Rock,2012,185127,54,588.6,0.634,0.883,0.643,0.44,0.039,0.196,127,B,Maior,Não,Sony Music
TRK00070,Noche Despacito,Plan B,Reggaeton,2021,235176,60,750.2,0.771,0.71,0.797,0.365,0.101,0.184,116,D#,Maior,Não,Universal Music
TRK00071,Today Stay,SZA,R&B,2022,233295,72,883.3,0.601,0.39,0.652,0.305,0.14,0.194,67,G,Menor,Não,RCA Records
TRK00072,Loca Corazón,Shakira,Latin,2023,189715,45,517.7,0.761,0.681,0.343,0.35,0.237,0.278,120,C,Menor,Sim,Atlantic Records
TRK00073,We Run Alone,Disclosure,Electronic,2012,170307,46,518.2,0.785,0.853,0.647,0.528,0.054,0.148,124,A#,Maior,Não,RCA Records
TRK00074,Tears Gone,Shawn Mendes,Pop,2014,193562,65,825.5,0.639,0.664,0.584,0.287,0.431,0.06,112,F,Menor,Não,RCA Records
TRK00075,Heart Somewhere,Beyoncé,R&B,2023,208804,66,720.4,0.663,0.503,0.723,0.28,0.201,0.181,94,F,Menor,Sim,Def Jam
TRK00076,Corazón Fiesta,Daddy Yankee,Latin,2018,208396,100,1163.7,0.766,0.971,0.227,0.509,0.08,0.297,108,G#,Menor,Não,RCA Records
TRK00077,Touch Magic,Paramore,Rock,2022,221061,50,640.8,0.646,0.716,0.312,0.143,0.216,0.298,128,G,Maior,Não,Sony Music
TRK00078,Tu Sonrisa,Rauw Alejandro,Latin,2015,256312,85,1050.5,0.875,0.872,0.399,0.046,0.302,0.084,136,D,Menor,Não,Def Jam
TRK00079,Hold Dancing,Doja Cat,Hip-Hop,2024,175850,60,770.3,0.786,0.717,0.431,0.045,0.079,0.115,91,E,Maior,Não,RCA Records
TRK00080,Shine,The Chainsmokers,Electronic,2020,177454,69,984.1,0.819,0.873,0.785,0.445,0.272,0.331,132,D#,Menor,Não,Interscope
TRK00081,Night Beautiful Rising,Daniel Caesar,R&B,2017,282455,49,501.0,0.742,0.589,0.426,0.358,0.056,0.163,108,D#,Menor,Não,Republic Records
TRK00082,Apart Bright Need,Khalid,R&B,2015,165747,85,1140.4,0.752,0.505,0.47,0.22,0.031,0.058,120,G#,Menor,Não,Interscope
TRK00083,Shining Paradise,Post Malone,Hip-Hop,2021,275237,32,412.8,0.846,0.575,0.549,0.481,0.127,0.429,107,D#,Menor,Sim,Republic Records
TRK00084,Young Closer,Bruno Mars,Pop,2023,155381,61,636.3,0.598,0.922,0.666,0.325,0.3,0.332,136,A,Menor,Não,Def Jam
TRK00085,Reggaetón,Wisin & Yandel,Reggaeton,2024,195246,93,1057.4,0.812,0.781,0.328,0.258,0.458,0.19,141,B,Maior,Sim,Warner Music
TRK00086,Memories Moon,Drake,Hip-Hop,2017,174301,32,352.3,0.727,0.694,0.389,0.519,0.02,0.16,108,A,Menor,Não,Sony Music
TRK00087,Wild Sky,Fall Out Boy,Rock,2023,165584,62,739.0,0.618,0.647,0.566,0.399,0.137,0.176,173,G,Maior,Não,Atlantic Records
TRK00088,Alone Body Sky,Phoebe Bridgers,Indie,2020,176839,67,901.5,0.615,0.686,0.348,0.196,0.106,0.146,67,A,Menor,Sim,Warner Music
TRK00089,Soul,Ed Sheeran,Pop,2016,195581,33,417.8,0.751,0.738,0.538,0.171,0.607,0.313,117,A,Maior,Não,Interscope
TRK00090,Te Quiero Reggaetón,Daddy Yankee,Latin,2022,264736,68,900.7,0.744,0.928,0.721,0.436,0.161,0.074,125,E,Maior,Não,RCA Records
TRK00091,Higher,John Legend,R&B,2025,220602,96,1144.9,0.675,0.688,0.312,0.149,0.223,0.137,116,A#,Maior,Não,Independent
TRK00092,Goodbye,Dua Lipa,Pop,2020,206353,57,686.3,0.476,0.64,0.659,0.161,0.086,0.106,132,B,Menor,Não,Universal Music
TRK00093,Falling Tomorrow,Kanye West,Hip-Hop,2014,215421,65,790.8,0.632,0.793,0.59,0.333,0.404,0.103,88,E,Maior,Não,Sony Music
TRK00094,Hello Angel,Linkin Park,Rock,2024,238944,83,969.9,0.63,0.659,0.605,0.377,0.064,0.126,141,D,Menor,Sim,Warner Music
TRK00095,Never Gone,Major Lazer,Electronic,2017,217839,41,517.7,0.805,0.889,0.682,0.181,0.412,0.204,118,B,Menor,Não,Def Jam
TRK00096,God's Menu,IVE,K-Pop,2021,245965,75,982.4,0.69,0.68,0.782,0.124,0.263,0.02,119,A,Maior,Não,Def Jam
TRK00097,Smile Paradise,Chris Stapleton,Country,2024,294208,74,861.6,0.469,0.797,0.347,0.411,0.091,0.291,136,A#,Maior,Sim,Universal Music
TRK00098,Despacito Corazón,Tego Calderón,Reggaeton,2012,121689,39,474.2,0.746,0.731,0.533,0.055,0.184,0.18,108,G,Menor,Sim,Def Jam
TRK00099,Moon Beautiful Today,Adele,Pop,2024,123511,100,1253.8,0.89,0.693,0.247,0.112,0.032,0.122,107,F,Maior,Não,Columbia Records
TRK00100,Sun Falling Everything,Vampire Weekend,Indie,2014,176708,60,742.9,0.219,0.417,0.854,0.209,0.16,0.302,108,C#,Menor,Sim,Capitol Records
TRK00101,Dark Love Together,Kendrick Lamar,Hip-Hop,2014,235463,34,463.1,0.636,0.663,0.508,0.475,0.267,0.268,94,D#,Menor,Sim,Def Jam
TRK00102,Sky Higher Angel,Daniel Caesar,R&B,2018,199369,76,915.0,0.823,0.613,0.186,0.102,0.058,0.148,102,E,Menor,Sim,Capitol Records
TRK00103,Dance,Florida Georgia Line,Country,2022,203546,60,713.4,0.524,0.625,0.389,0.263,0.162,0.129,84,D#,Maior,Não,Independent
TRK00104,Beautiful Stronger Stay,Drake,Hip-Hop,2011,166074,54,742.4,0.714,0.434,0.531,0.205,0.229,0.325,89,A#,Maior,Não,Def Jam
TRK00105,Dark Angel,Green Day,Rock,2024,220018,90,1197.5,0.334,0.726,0.426,0.282,0.02,0.528,109,G,Maior,Não,Interscope
TRK00106,Young Tears Dark,Arctic Monkeys,Rock,2022,192083,61,724.5,0.397,0.777,0.245,0.276,0.215,0.113,113,E,Menor,Não,Warner Music
TRK00107,Love Falling,Doja Cat,Hip-Hop,2025,163096,82,989.4,0.863,0.644,0.802,0.181,0.02,0.158,68,A,Menor,Não,Atlantic Records
TRK00108,Need Kiss Apart,Florida Georgia Line,Country,2016,256632,74,855.9,0.56,0.634,0.99,0.294,0.175,0.271,125,F,Maior,Não,Capitol Records
TRK00109,Tu Sonrisa,Wisin & Yandel,Reggaeton,2010,244264,35,401.5,0.838,0.852,0.636,0.311,0.164,0.202,117,B,Menor,Sim,Interscope
TRK00110,Tu Sonrisa,Camilo,Latin,2023,211207,47,464.8,0.829,0.754,0.841,0.457,0.078,0.13,122,A#,Maior,Não,Independent
TRK00111,Light Joy,Imagine Dragons,Rock,2022,258124,55,635.4,0.2,0.798,0.798,0.346,0.205,0.26,161,G,Maior,Não,Columbia Records
TRK00112,Rain,Zedd,Electronic,2022,184952,66,788.1,0.781,0.896,0.378,0.607,0.088,0.18,112,D,Maior,Não,Interscope
TRK00113,Cry We,OneRepublic,Rock,2019,289267,53,562.8,0.721,0.873,0.797,0.259,0.184,0.15,144,F,Menor,Sim,Independent
TRK00114,OMG,ENHYPEN,K-Pop,2018,259404,91,1103.5,0.668,0.652,0.476,0.494,0.067,0.135,125,C,Maior,Não,Def Jam
TRK00115,Broken Beautiful,Cardi B,Hip-Hop,2017,204071,60,752.8,0.696,0.63,0.35,0.436,0.21,0.415,95,A#,Maior,Não,Interscope
TRK00116,Dance Fire,Green Day,Rock,2022,252144,72,727.6,0.463,0.792,0.502,0.283,0.36,0.175,155,E,Menor,Não,Columbia Records
TRK00117,Bright Nothing,Travis Scott,Hip-Hop,2018,172548,70,908.4,0.74,0.453,0.882,0.246,0.078,0.297,92,D,Maior,Não,RCA Records
TRK00118,Cry Shine Sun,Adele,Pop,2019,163199,60,698.6,0.785,0.777,0.497,0.057,0.251,0.039,114,G,Menor,Sim,RCA Records
TRK00119,Yesterday,Red Hot Chili Peppers,Rock,2023,297505,57,716.9,0.323,0.724,0.51,0.122,0.387,0.222,123,D,Maior,Não,Atlantic Records
TRK00120,Anywhere Paradise,Twenty One Pilots,Rock,2025,186754,49,624.3,0.601,0.782,0.648,0.552,0.073,0.144,112,D#,Menor,Não,Def Jam
TRK00121,Mine Body,Lana Del Rey,Indie,2018,228782,80,984.4,0.657,0.527,0.546,0.221,0.138,0.529,97,B,Menor,Não,Columbia Records
TRK00122,Dancing Heart Mind,Selena Gomez,Pop,2018,146815,58,751.3,0.579,0.788,0.359,0.159,0.583,0.143,118,C,Menor,Não,Independent
TRK00123,Broken Smile,MGMT,Indie,2023,195564,75,941.4,0.2,0.611,0.44,0.399,0.143,0.145,88,D#,Menor,Não,Columbia Records
TRK00124,Tonight Fire,John Legend,R&B,2012,107665,42,589.3,0.571,0.42,0.32,0.319,0.415,0.293,105,C,Menor,Não,Atlantic Records
TRK00125,Reggaetón,J Balvin,Latin,2021,186062,63,820.9,0.798,0.98,0.646,0.143,0.054,0.175,129,D,Menor,Não,Interscope
TRK00126,Believe Paradise,Disclosure,Electronic,2020,249821,77,974.9,0.798,0.85,0.634,0.465,0.187,0.146,132,E,Menor,Não,Def Jam
TRK00127,Rain,Mitski,Indie,2019,207588,47,586.6,0.618,0.666,0.589,0.462,0.095,0.144,94,B,Menor,Não,Republic Records
TRK00128,God's Menu,Red Velvet,K-Pop,2023,242394,59,605.6,0.768,0.536,0.602,0.198,0.128,0.071,136,F#,Maior,Sim,Columbia Records
TRK00129,Yours Heaven Pain,Kendrick Lamar,Hip-Hop,2022,192710,54,738.8,0.734,0.715,0.827,0.48,0.082,0.084,92,F,Maior,Não,Interscope
TRK00130,Cry,Daniel Caesar,R&B,2022,185465,44,577.8,0.495,0.438,0.42,0.417,0.199,0.132,72,A,Maior,Não,Capitol Records
TRK00131,Burning Nothing Stay,Usher,R&B,2010,257596,59,701.4,0.781,0.361,0.681,0.058,0.164,0.469,108,C,Menor,Sim,Warner Music
TRK00132,Loca,Daddy Yankee,Reggaeton,2024,229899,61,747.8,0.825,0.698,0.515,0.335,0.224,0.295,124,G,Menor,Sim,Capitol Records
TRK00133,Joy Hello Somewhere,John Legend,R&B,2016,224367,36,441.3,0.737,0.466,0.891,0.271,0.179,0.206,81,G,Menor,Sim,Independent
TRK00134,Butter,NewJeans,K-Pop,2012,278477,43,567.6,0.768,0.675,0.99,0.271,0.1,0.069,134,G,Maior,Não,Columbia Records
TRK00135,Together Want,Lana Del Rey,Indie,2020,182384,53,642.0,0.551,0.669,0.6,0.334,0.227,0.24,114,D#,Maior,Não,Universal Music
TRK00136,Likey,EXO,K-Pop,2021,143609,73,857.2,0.565,0.541,0.659,0.375,0.371,0.2,125,A#,Maior,Não,Sony Music
TRK00137,Memories Mind,Olivia Rodrigo,Pop,2022,216992,45,546.3,0.716,0.653,0.329,0.267,0.065,0.35,141,G#,Maior,Sim,Republic Records
TRK00138,Kiss Rain,Major Lazer,Electronic,2021,148911,49,603.3,0.67,0.744,0.968,0.17,0.078,0.168,137,D,Maior,Sim,RCA Records
TRK00139,Stay Dance,Alan Walker,Electronic,2018,227339,93,1137.7,0.716,0.753,0.524,0.32,0.084,0.067,109,D#,Menor,Sim,Warner Music
TRK00140,Memories,Billie Eilish,Pop,2020,223533,54,660.7,0.81,0.625,0.509,0.155,0.171,0.504,98,B,Maior,Não,Interscope
TRK00141,Dark Joy,Muse,Rock,2019,198208,75,983.8,0.712,0.672,0.299,0.103,0.02,0.059,111,D#,Maior,Não,Sony Music
TRK00142,Sola,Nicky Jam,Latin,2023,226585,50,623.9,0.787,0.941,0.378,0.399,0.187,0.31,129,C,Menor,Não,Independent
TRK00143,Moon,Phoebe Bridgers,Indie,2020,170486,80,965.9,0.69,0.455,0.398,0.165,0.366,0.429,94,C#,Menor,Sim,Def Jam
TRK00144,Dancing Cry,Beyoncé,R&B,2022,207886,74,794.1,0.562,0.443,0.36,0.505,0.207,0.244,103,B,Menor,Não,Independent
TRK00145,Tomorrow Light,Foo Fighters,Rock,2011,160586,77,851.9,0.69,0.847,0.456,0.289,0.333,0.137,119,B,Maior,Não,RCA Records
TRK00146,Always Maybe,Arcade Fire,Indie,2010,237675,56,546.0,0.643,0.749,0.768,0.447,0.194,0.06,122,G,Menor,Não,Republic Records
TRK00147,Anywhere Feel,Coldplay,Rock,2016,254738,50,527.6,0.616,0.849,0.537,0.26,0.233,0.224,156,D,Menor,Não,Independent
TRK00148,Beautiful,Selena Gomez,Pop,2022,224939,99,1282.4,0.899,0.636,0.618,0.404,0.156,0.29,112,B,Menor,Sim,Interscope
TRK00149,Joy,Florence + The Machine,Indie,2018,177702,58,716.6,0.528,0.69,0.616,0.322,0.09,0.319,120,A#,Maior,Não,Capitol Records
TRK00150,Sky Falling Tears,Paramore,Rock,2025,222338,58,618.2,0.525,0.705,0.24,0.214,0.149,0.096,121,A,Maior,Não,Atlantic Records
TRK00151,Summer Need,Justin Bieber,Pop,2022,194823,53,564.8,0.733,0.806,0.166,0.274,0.194,0.083,112,E,Maior,Não,Capitol Records
TRK00152,Smile,Glass Animals,Indie,2023,117121,62,712.4,0.825,0.672,0.624,0.353,0.286,0.319,124,E,Maior,Não,Independent
TRK00153,Hold Need,Charlie Puth,Pop,2023,131428,59,758.0,0.676,0.664,0.875,0.6,0.474,0.154,146,D,Menor,Não,Universal Music
TRK00154,Beautiful,Charlie Puth,Pop,2025,212699,56,689.8,0.745,0.658,0.444,0.326,0.278,0.327,103,F#,Menor,Não,Capitol Records
TRK00155,Touch Mind,J. Cole,Hip-Hop,2022,225008,18,186.0,0.686,0.705,0.433,0.354,0.109,0.038,63,C,Maior,Sim,RCA Records
TRK00156,Crazy,Adele,Pop,2021,256866,58,711.0,0.663,0.628,0.99,0.252,0.809,0.4,101,F#,Menor,Não,Atlantic Records
TRK00157,Closer Dark,H.E.R.,R&B,2017,174260,56,668.1,0.638,0.414,0.801,0.163,0.162,0.132,88,C#,Menor,Não,Sony Music
TRK00158,Bright Shining Fire,Chris Brown,R&B,2025,230216,68,766.8,0.7,0.633,0.316,0.548,0.238,0.418,73,A,Maior,Não,Republic Records
TRK00159,Sunshine Paradise,Billie Eilish,Pop,2024,159944,91,1025.6,0.764,0.677,0.32,0.709,0.273,0.05,122,C,Menor,Não,Atlantic Records
TRK00160,Bésame,Shakira,Latin,2017,189908,64,882.6,0.741,0.716,0.596,0.754,0.131,0.163,102,A#,Menor,Não,Republic Records
TRK00161,Always,Selena Gomez,Pop,2024,242395,68,812.0,0.535,0.585,0.569,0.063,0.326,0.17,116,C#,Menor,Não,Universal Music
TRK00162,Somewhere Rising Stay,Kygo,Electronic,2018,228026,34,238.1,0.747,0.989,0.283,0.536,0.115,0.086,131,F,Maior,Sim,Interscope
TRK00163,Better Beautiful Always,Hozier,Indie,2024,187777,79,939.9,0.355,0.623,0.392,0.024,0.468,0.109,124,A,Menor,Não,Sony Music
TRK00164,Hold Stronger,Skrillex,Electronic,2014,181737,46,564.3,0.829,0.816,0.595,0.65,0.166,0.188,117,C#,Maior,Não,Columbia Records
TRK00165,Need Rain,The Chainsmokers,Electronic,2019,194918,92,1201.6,0.752,0.68,0.581,0.26,0.169,0.249,121,E,Maior,Sim,Republic Records
TRK00166,Free,Dua Lipa,Pop,2024,189895,78,1014.5,0.723,0.67,0.578,0.117,0.509,0.278,136,A,Menor,Não,Independent
TRK00167,Suelta Suelta,Nicky Jam,Latin,2023,162847,76,927.1,0.77,0.858,0.721,0.396,0.05,0.076,116,G,Menor,Não,Warner Music
TRK00168,Joy Forever,Alicia Keys,R&B,2013,176381,53,656.7,0.658,0.414,0.475,0.2,0.446,0.351,100,E,Menor,Não,Columbia Records
TRK00169,Falling Alone,Imagine Dragons,Rock,2021,207025,14,145.5,0.664,0.678,0.496,0.681,0.202,0.219,134,C#,Menor,Não,Independent
TRK00170,Maybe,Linkin Park,Rock,2018,236925,72,895.4,0.266,0.805,0.672,0.425,0.122,0.26,101,F,Menor,Não,RCA Records
TRK00171,Summer Hold Crazy,Calvin Harris,Electronic,2024,196976,87,1153.8,0.7,0.725,0.45,0.358,0.082,0.05,107,C,Maior,Não,Capitol Records
TRK00172,Sola,Ozuna,Latin,2024,198789,58,731.2,0.634,0.669,0.183,0.178,0.217,0.424,146,E,Menor,Não,Warner Music
TRK00173,Kiss,Twenty One Pilots,Rock,2014,194154,61,672.7,0.658,0.825,0.314,0.357,0.047,0.061,148,G#,Menor,Não,Sony Music
TRK00174,Kiss Crazy,21 Savage,Hip-Hop,2024,198553,87,997.6,0.539,0.625,0.487,0.376,0.339,0.059,103,F,Menor,Não,RCA Records
